Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2015,30,MACS,326,11,13,4,0,1,0,1,0,0,0,0,0,0,0,"New Media, Culture & Society","Malo, Gabriel R",3.867
Fall,2011,32,PHYS,487,5,6,9,4,1,3,1,0,2,0,0,0,1,0,Quantum Physics II,"Dahmen, Karin A",3.3446875
Spring,2019,30,FSHN,398,3,16,0,0,8,0,0,3,0,0,0,0,0,0,Nutritional Physiology II,"Amengual Terras, Jaime",3.533333333333333
Fall,2017,30,ACCY,510,4,13,0,4,6,2,0,1,0,0,0,0,0,0,Financial Reporting Standards,"Steward, Cynthia G",3.555333333333333
Fall,2014,22,FR,101,2,5,4,1,5,1,1,2,0,0,0,0,0,1,Elementary French I,"Prieu, Charlotte C",3.3338095238095242
Fall,2010,30,HIST,471,0,18,5,3,2,0,0,0,0,1,0,0,1,0,History of American Families,"Pleck, Elizabeth H",3.5889999999999995
Summer,2018,24,ART,140,4,6,3,0,2,2,0,2,1,0,0,2,2,0,Introduction to Art,"Bergmark, Jennifer L",2.89
Fall,2013,27,ANTH,143,1,11,5,1,7,0,0,0,0,0,0,1,1,0,Biology of Human Behavior,"Clancy, Kathryn B",3.3833333333333333
Summer,2010,38,IS,502,0,7,21,7,2,1,0,0,0,0,0,0,0,0,Libraries Info and Society,"Estabrook, Leigh S",3.6065789473684204
Spring,2015,343,CS,498,21,33,24,43,39,30,35,27,32,24,20,8,5,2,Algorithms and Models of Comp,"Pitt, Leonard B",2.611847507331378
Spring,2014,50,BADM,324,5,13,26,5,0,0,0,0,0,0,1,0,0,0,Purchasing and Supply Mgmnt,"Wan, Zhixi",3.7014000000000005
Fall,2016,31,KIN,401,0,18,5,4,4,0,0,0,0,0,0,0,0,0,Measure & Eval in Kinesiology,"Zhu, Weimo",3.731290322580645
Summer,2011,31,NPRE,201,0,8,10,3,5,5,0,0,0,0,0,0,0,0,Energy Systems,"Singer, Clifford E",3.4529032258064514
Spring,2016,192,CHEM,233,26,48,40,24,29,8,9,3,1,0,2,0,1,1,Elementary Organic Chem Lab I,"Miller, Shawn",3.464502617801047
Fall,2010,21,ANTH,414,2,5,3,1,5,4,0,0,1,0,0,0,0,0,Writing Ethnography,"Gottlieb, Alma J",3.3185714285714285
Fall,2014,40,ADV,460,0,37,0,1,0,0,0,1,1,0,0,0,0,0,Innovation in Advertising,"Ham, Chang Dae",3.875
Spring,2013,335,ATMS,120,243,40,12,13,8,6,4,3,2,0,0,0,4,0,Severe and Hazardous Weather,"Snodgrass, Eric R",3.814955223880596
Spring,2015,54,CHEM,236,1,9,4,3,9,5,3,14,2,0,2,1,1,0,Fundamental Organic Chem I,"Burke, Martin",2.704074074074074
Fall,2015,97,KIN,122,12,24,18,6,13,10,4,6,1,2,0,1,0,0,Physical Activity and Health,"Pilutti, Lara",3.3202061855670104
Spring,2018,49,SOC,225,5,16,10,2,4,5,5,1,1,0,0,0,0,0,Race and Ethnicity,"Moussawi, Ghassan",3.429183673469388
Spring,2014,40,FIN,461,0,17,11,9,2,0,0,0,0,0,0,0,1,0,Financial Intermediation,"Manouchehri Ira, Rustom D",3.6085000000000003
Fall,2011,43,THEA,208,2,28,1,1,7,0,0,3,0,0,1,0,0,0,Script Analysis,"Hohman, Valleri J",3.604651162790698
Fall,2015,23,EPSY,220,18,0,2,0,0,1,0,1,0,0,0,0,1,0,Career Theory and Practice,"Doshi, Namrata D",3.652608695652174
Spring,2017,47,MBA,503,0,13,22,10,1,1,0,0,0,0,0,0,0,0,Global Strategy,"Bucheli, Marcelo",3.653404255319149
Spring,2015,21,ECE,454,4,7,4,0,1,1,0,1,3,0,0,0,0,0,Antennas,"Bernhard, Jennifer T",3.3980952380952383
Spring,2015,38,ANSC,402,0,30,0,0,8,0,0,0,0,0,0,0,0,0,Sheep Production,"Cobb, Alan R",3.789473684210526
Spring,2014,28,GEOG,477,3,9,1,3,2,2,2,3,2,0,1,0,0,0,Introduction to Remote Sensing,"Greenberg, Jonathan",3.142857142857143
Spring,2017,32,RST,340,11,6,4,7,2,1,1,0,0,0,0,0,0,0,Facility Management in RST,"Browning, Lara",3.6559375000000003
Fall,2015,23,BTW,261,2,8,0,0,8,1,0,1,2,0,0,0,1,0,Principles Tech Comm,"Hechler, William D",3.1308695652173917
Spring,2014,33,ENGL,104,0,8,3,3,8,4,4,0,1,0,0,0,2,0,Intro to Film,"McQuiston, Erin S",2.99
Fall,2011,26,LAS,101,14,8,1,1,0,0,0,0,2,0,0,0,0,0,Freshman Seminar,"Hoffman, Ruth A",3.7823076923076924
Spring,2011,24,ECON,567,4,7,6,2,3,0,0,1,0,0,1,0,0,0,Microeconomics for Business,"Esfahani, Hadi S",3.528333333333333
Fall,2013,25,SOC,367,1,1,3,3,3,6,3,1,2,0,0,0,0,2,Globalization Dynamics Debates,"Schulz, Markus S",2.884782608695652
Spring,2014,24,MATH,540,1,12,0,6,0,0,1,3,0,0,0,0,0,1,Real Analysis,"Li, Xiaochun",3.491739130434783
Fall,2015,27,CWL,151,0,19,4,0,1,0,0,1,0,0,0,0,2,0,From Hollywood to Bollywood,"Mehta, Rini B",3.543703703703704
Summer,2014,27,GWS,100,0,17,1,1,7,0,0,0,0,0,1,0,0,0,Intro Gender & Women's Studies,"Cole, Cheryl L",3.5925925925925926
Fall,2017,22,MCB,251,6,5,5,1,3,1,1,0,0,0,0,0,0,0,Exp Techniqs in Molecular Biol,"Kirchner, Nicholas C",3.621818181818182
Summer,2011,22,ME,521,3,8,10,0,1,0,0,0,0,0,0,0,0,0,Convective Heat Transfer,"Kyritsis, Dimitrios C",3.8045454545454547
Spring,2016,38,CPSC,241,5,5,4,3,4,4,2,4,2,0,2,0,3,0,Intro to Applied Statistics,"Bohn, Martin O",2.7723684210526316
