Term,Year,Students,Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course Title,Primary Instructor,GPA
Spring,2010,39,JOUR,405,2,5,6,1,6,7,0,6,1,1,3,0,0,1,History of American Journalism,"Liebovich, Louis W",2.843157894736842
Fall,2016,55,JOUR,200,2,6,10,9,9,9,3,2,1,2,0,0,2,0,Introduction to Journalism,"Follis, Jennifer E",3.000363636363636
Fall,2021,160,GEOL,117,35,45,26,11,16,4,6,4,4,0,0,0,8,1,The Oceans,"Pettijohn, Justin C",3.392389937106918
Spring,2022,92,PSYC,465,8,31,7,6,18,6,4,6,2,0,2,0,2,0,Personality and Soc Dev,"Banerjee, Sanchari",3.242934782608695
Fall,2016,29,AAS,258,0,22,5,1,0,0,0,0,0,0,0,0,0,1,Muslims in America,"Rana, Junaid",3.917142857142857
Spring,2015,37,ECON,103,1,4,4,4,5,5,1,6,3,2,1,0,1,0,Macroeconomic Principles,"Schneider, Rodrigo A",2.685135135135135
Spring,2019,28,CLCV,115,5,15,3,0,2,0,0,1,0,0,1,0,1,0,Mythology of Greece and Rome,"Pires, Alejandra-Isabe O",3.5717857142857143
Fall,2021,23,MACS,101,0,8,7,6,0,0,0,0,0,0,0,0,2,0,Intro to the Media,"Knipp, Jonathan A",3.3769565217391304
Spring,2014,33,CMN,377,0,8,3,6,5,2,4,3,2,0,0,0,0,0,Propaganda and Modern Society,"Stole, Inger L",3.090606060606061
Spring,2018,65,AE,353,9,19,12,6,5,3,3,0,1,1,2,0,3,1,Aerospace Control Systems,"Hanley, David J",3.2971874999999997
Winter,2016,97,PSYC,100,12,52,11,6,5,0,4,2,0,1,0,0,4,0,Intro Psych,"Shenouda, Christine K",3.5670103092783507
Spring,2014,28,RLST,110,1,3,2,2,4,6,2,2,2,0,1,2,1,0,World Religions,"Luce, Krystal D",2.584285714285714
Summer,2020,780,ECON,529,292,285,82,47,36,18,7,4,0,2,2,0,2,3,Macroeconomics for Business,"Esfahani, Hadi S",3.7972715572715567
Summer,2011,72,ME,320,3,16,19,21,3,2,2,5,0,0,0,1,0,0,Heat Transfer,"Sinha, Sanjiv",3.4073611111111113
Summer,2014,35,ACCY,560,2,15,14,4,0,0,0,0,0,0,0,0,0,0,Information in Value Creation,"Chandler, John S",3.791428571428571
Fall,2020,25,MCB,150,1,5,7,7,5,0,0,0,0,0,0,0,0,0,Molec & Cellular Basis of Life,"Reedy, Melissa M",3.52
